CustomerID,Recency,Frequency,Monetary,r_recency,r_frequency,r_monetary,RFM_Score
12346.0,326,1,77183.6,1,1,5,115
12347.0,2,182,4310.0,5,5,5,555
12348.0,75,31,1797.24,2,3,4,234
12349.0,19,73,1757.55,4,4,4,444
12350.0,310,17,334.4,1,2,2,122
12352.0,36,85,2506.04,3,4,5,345
12353.0,204,4,89.0,1,1,1,111
12354.0,232,58,1079.4,1,4,4,144
12355.0,214,13,459.4,1,1,2,112
12356.0,23,59,2811.43,4,4,5,445
12357.0,33,131,6207.67,4,5,5,455
12358.0,2,19,1168.06,5,2,4,524
12359.0,58,245,6310.03,3,5,5,355
12360.0,52,129,2662.06,3,5,5,355
12361.0,287,10,189.9,1,1,1,111
12362.0,3,266,5226.23,5,5,5,555
12363.0,110,23,552.0,2,2,3,223
12364.0,8,85,1313.1,5,4,4,544
12365.0,291,22,641.38,1,2,3,123
12367.0,4,11,168.9,5,1,1,511
12370.0,51,166,3541.94,3,5,5,355
12371.0,45,63,1887.96,3,4,4,344
12372.0,72,52,1298.04,3,3,4,334
12373.0,311,14,364.6,1,1,2,112
12374.0,25,33,742.93,4,3,3,433
12375.0,11,17,457.5,5,2,2,522
12377.0,315,77,1628.12,1,4,4,144
12378.0,130,219,4008.62,2,5,5,255
12379.0,82,40,852.24,2,3,3,233
12380.0,22,104,2724.81,4,4,5,445
12381.0,5,87,1845.31,5,4,4,544
12383.0,185,99,1850.56,1,4,4,144
12384.0,29,27,585.27,4,2,3,423
12386.0,338,10,401.9,1,1,2,112
12388.0,16,100,2780.66,4,4,5,445
12390.0,80,32,549.84,2,3,3,233
12391.0,22,93,439.66,4,4,2,442
12393.0,72,64,1582.6,3,4,4,344
12394.0,64,27,1272.48,3,2,4,324
12395.0,19,156,3018.63,4,5,5,455
12397.0,36,126,2409.9,3,5,5,355
12398.0,46,85,1635.66,3,4,4,344
12399.0,119,59,1108.65,2,4,4,244
12401.0,303,5,84.3,1,1,1,111
12402.0,323,11,225.6,1,1,1,111
12403.0,50,5,427.7,3,1,2,312
12405.0,149,54,1710.39,2,3,4,234
12406.0,22,105,3415.3,4,4,5,445
12407.0,50,77,1708.12,3,4,4,344
12408.0,33,105,2888.55,4,4,5,445
12409.0,79,109,11072.67,2,4,5,245
12410.0,309,26,693.33,1,2,3,123
12412.0,75,61,1226.88,2,4,4,244
12413.0,67,38,758.1,3,3,3,333
12414.0,217,18,562.41,1,2,3,123
12415.0,24,714,124914.53,4,5,5,455
12417.0,3,192,3649.1,5,5,5,555
12418.0,113,34,668.58,2,3,3,233
12420.0,64,29,600.39,3,2,3,323
12421.0,16,45,807.04,4,3,3,433
12422.0,96,39,803.56,2,3,3,233
12423.0,1,125,1859.31,5,5,4,554
12424.0,163,30,1760.96,2,3,4,234
12425.0,78,36,777.2,2,3,3,233
12426.0,195,30,582.73,1,3,3,133
12427.0,22,31,825.8,4,3,3,433
12428.0,26,294,7956.46,4,5,5,455
12429.0,9,97,3750.4,5,4,5,545
12430.0,43,11,256.4,3,1,2,312
12431.0,36,234,6419.95,3,5,5,355
12432.0,43,108,5059.32,3,4,5,345
12433.0,1,420,13375.87,5,5,5,555
12434.0,85,50,806.14,2,3,3,233
12435.0,80,36,7829.89,2,3,5,235
12436.0,100,16,509.01,2,2,3,223
12437.0,2,199,4951.41,5,5,5,555
12438.0,14,98,2906.85,4,4,5,445
12441.0,367,11,173.55,1,1,1,111
12442.0,3,12,172.06,5,1,1,511
12444.0,21,176,5005.46,4,5,5,455
12445.0,22,4,133.4,4,1,1,411
12446.0,58,57,1002.31,3,3,4,334
12447.0,243,26,476.49,1,2,2,122
12448.0,44,22,449.45,3,2,2,322
12449.0,22,191,4067.29,4,5,5,455
12450.0,156,8,197.88,2,1,1,211
12451.0,11,354,9035.52,5,5,5,555
12452.0,17,22,430.57,4,2,2,422
12453.0,134,43,707.09,2,3,3,233
12454.0,56,15,3528.34,3,2,5,325
12455.0,73,90,2466.86,2,4,5,245
12456.0,44,125,3181.04,3,5,5,355
12457.0,66,62,2363.23,3,4,5,345
12458.0,71,38,947.4,3,3,4,334
12461.0,94,35,826.88,2,3,3,233
12462.0,19,62,1189.59,4,4,4,444
12463.0,53,83,1344.78,3,4,4,344
12464.0,10,29,1212.05,5,2,4,524
12465.0,17,47,742.19,4,3,3,433
12468.0,188,38,729.54,1,3,3,133
12471.0,2,459,19788.65,5,5,5,555
12472.0,32,339,6572.11,4,5,5,455
12473.0,29,167,3928.05,4,5,5,455
12474.0,17,422,7324.09,4,5,5,455
12475.0,54,36,723.38,3,3,3,333
12476.0,16,233,6816.42,4,5,5,455
12477.0,23,300,13219.74,4,5,5,455
12478.0,4,36,680.99,5,3,3,533
12479.0,11,31,527.2,5,3,3,533
12480.0,28,154,3281.63,4,5,5,455
12481.0,23,216,5579.82,4,5,5,455
12483.0,17,75,2484.98,4,4,5,445
12484.0,33,343,4527.32,4,5,5,455
12488.0,10,55,1298.66,5,3,4,534
12489.0,336,15,334.93,1,2,2,122
12490.0,5,245,5417.93,5,5,5,555
12491.0,39,26,460.4,3,2,2,322
12492.0,63,20,263.21,3,2,2,322
12493.0,166,22,433.74,2,2,2,222
12494.0,16,77,1246.1,4,4,4,444
12497.0,82,14,1043.1,2,1,4,214
12498.0,21,23,403.7,4,2,2,422
12500.0,23,61,4257.82,4,4,5,445
12501.0,337,149,2169.39,1,5,5,155
12502.0,96,147,3723.87,2,5,5,255
12504.0,18,9,482.05,4,1,2,412
12506.0,233,23,73.5,1,2,1,121
12507.0,134,21,1304.81,2,2,4,224
12508.0,26,68,397.88,4,4,2,442
12509.0,284,7,176.5,1,1,1,111
12510.0,143,33,982.57,2,3,4,234
12512.0,66,31,132.18,3,3,1,331
12513.0,113,35,612.29,2,3,3,233
12514.0,267,51,1017.68,1,3,4,134
12515.0,353,16,383.7,1,2,2,122
12516.0,78,26,1312.06,2,2,4,224
12517.0,28,279,2481.6,4,5,5,455
12518.0,1,124,2056.89,5,5,5,555
12519.0,64,17,330.84,3,2,2,322
12520.0,79,152,2634.26,2,5,5,255
12521.0,143,38,599.68,2,3,3,233
12522.0,39,12,192.72,3,1,1,311
12523.0,19,106,1789.77,4,4,4,444
12524.0,9,144,4485.72,5,5,5,555
12526.0,1,71,1316.66,5,4,4,544
12527.0,82,18,348.71,2,2,2,222
12528.0,9,92,1933.48,5,4,4,544
12530.0,60,66,1662.28,3,4,4,344
12531.0,15,17,125.22,4,2,1,421
12532.0,30,16,349.83,4,2,2,422
12534.0,131,63,1089.18,2,4,4,244
12535.0,92,34,716.35,2,3,3,233
12536.0,43,261,12601.83,3,5,5,355
12538.0,29,21,363.95,4,2,2,422
12539.0,22,273,5568.35,4,5,5,455
12540.0,20,478,13400.24,4,5,5,455
12541.0,30,52,981.18,4,3,4,434
12544.0,36,19,372.7,3,2,2,322
12545.0,75,50,1000.39,2,3,4,234
12546.0,47,69,1161.5,3,4,4,344
12547.0,198,8,207.8,1,1,1,111
12548.0,166,5,95.2,2,1,1,211
12550.0,79,57,964.83,2,3,4,234
12551.0,358,10,168.0,1,1,1,111
12552.0,39,20,437.82,3,2,2,322
12553.0,8,191,3692.28,5,5,5,555
